CollectabilityID,ProviderID,TimeFrom,TimeTo,Town,Location,Sensortype,IoTDevice,Restrictions,Comment,TopicName,Provider IP,ZTNetworkID
wn17e,PXK,2021-07-14 12:19,2021-10-04 15:22,Limerick,Living Room,LeakSensor,Oppo R17,None,None,gently1mellow0reject0trousers1,192.168.0.108,ry3oogsngyvwu92y
hbnuc,LYC,2021-08-05 22:11,2021-10-15 18:22,Carrigaline,Living Room,RadiationSensor,Samsung Galaxy A90 5G,None,None,generously1mountainous0reflect1spot0,201.215.235.109,b1k0vea1fk017q9m
aba2t,SLZ,2021-09-26 13:18,2021-10-14 20:51,Derry,Livingroom,ContactSensor,Samsung Galaxy M12,None,None,separately1instinctive1muddle1seat0,192.168.0.108,rnmazdpc2ds6ypoj
enagv,FRE,2021-02-09 04:09,2021-10-20 03:30,Limerick,Garage,LeakSensor,Asus ZenFone Max Plus M2,None,None,officially0imminent0soothe0ink1,201.215.235.109,3v7p8lvfbcpu48r8
a4300,FVC,2021-02-12 20:23,2021-10-06 02:23,Maynooth,Familyroom,ElectricalSensor,Honor Holly 2 Plus,None,None,colorfully0painful0scatter1grape0,201.215.235.109,yveso0u9t6nczfyz
hugof,GRM,2021-06-17 21:14,2021-10-05 02:14,Enniskillen,Living Room,ParticleSensor,Honor Holly 2 Plus,None,None,frenetically1public0blind0brick0,201.215.235.109,36of96tx2knsbbsu
t0jol,PZA,2021-04-03 14:08,2021-10-15 02:51,Galway,#REF!,MotionSensor,HTC Desire 500,None,None,yawningly0gleaming1analyze0fuel1,192.168.0.108,c1l1nl7obwvny90q
q22iu,GWG,2021-03-06 05:52,2021-10-16 14:38,Dundalk,Familyroom,MotionSensor,HTC U11,None,None,kiddingly0imperfect1release0rings1,201.215.235.109,msr8qbh88eeuu69g
3ttgx,BCX,2021-03-20 11:08,2021-10-09 10:23,Killarney,GuestRoom,PositionSensor,HTC First,None,None,selfishly0trite1talk0destruction0,#N/A,ep5y6wvuh827xfd3
br0x1,MCY,2021-04-10 09:28,2021-10-10 06:29,Newtownabbey,Familyroom,FlawSensor,Samsung Galaxy S10 5G,None,None,certainly0petite1remain1button1,201.215.235.109,azlm1vc3jxvdj59f
8irf7,MHE,2021-08-31 02:45,2021-10-02 12:50,Leixlip,Familyroom,LevelSensor,Huawei Mate 9,None,None,delightfully1resonant1roll0hobbies1,201.215.235.109,tw70s3ahow3wkrzz
37waj,MCY,2021-05-22 02:34,2021-10-02 14:47,Portlaoise,Living Room,PositionSensor,Oppo A12,None,None,hopelessly0vulgar1unfasten0existence0,201.215.235.109,2dyoxu7gvt2edotl
5zhtr,QAR,2021-04-05 18:40,2021-10-14 04:58,Mallow,Livingroom,PhotoelectricSensor,HTC Desire L/P/Q,None,None,inwardly0careless0land0mouth0,192.168.0.108,no6eaf602ryth0k9
g87rx,MCY,2021-07-09 23:34,2021-10-02 13:12,Newtownabbey,#REF!,PressureSensor,Honor 6C Pro,None,None,cruelly1shivering0describe1top0,201.215.235.109,rqsi2p4cpu0vxco4
udvha,WZP,2021-07-14 18:47,2021-10-09 04:20,Athlone,Frontyard,FlameSensor,Nokia 3.4,None,None,positively1cowardly0continue0driving0,192.168.0.108,rnmazdpc2ds6ypoj
zef8o,GRM,2021-04-01 03:27,2021-10-17 20:27,Clonmel,Backyard,FlameSensor,Nexus 5X,None,None,naturally0blushing0meddle1tank1,201.215.235.109,p4jfbt6pnqrrl4z5
e6dxo,WZP,2021-06-16 18:16,2021-10-02 17:19,Arklow,Kitchen,MotionSensor,Sony Xperia X/Performance,None,None,ahead1grandiose0pour0weight0,192.168.0.108,36of96tx2knsbbsu
7r5xj,SLZ,2021-07-25 17:11,2021-10-16 21:11,Belfast,Frontyard,ParticleSensor,Huawei Mate 20,None,None,perfectly1wiggly0disagree1birth0,192.168.0.108,7t2vi1n3xssih0qa
eowyk,MCY,2021-02-08 16:39,2021-10-21 18:59,Derry,Basement,MetalSensor,Nokia 2.3,None,None,helplessly0powerful1warm0lip0,201.215.235.109,s6jcxnfn8ck7uiyz
e90nh,MCY,2021-08-06 12:13,2021-10-17 13:01,Ennis,Bathroom,ParticleSensor,Huawei Nova 8/Pro,None,None,limply0flippant1paste0route0,201.215.235.109,yveso0u9t6nczfyz
h18wp,WZP,2021-01-25 03:49,2021-10-19 22:54,Killarney,Garage,ElectricalSensor,Samsung Galaxy A90 5G,None,None,wonderfully0sassy0scribble1activity0,192.168.0.108,ts9neu8jvhvlkmpx
h4pw2,MCY,2021-07-24 06:14,2021-10-04 02:47,Balbriggan,Frontyard,PhotoelectricSensor,Honor 3C Play,None,None,quicker1boundless0reply1rate1,201.215.235.109,apneovwjunmfhf6v
j23g0,GHC,2021-05-24 22:45,2021-10-08 03:44,Navan,Frontyard,VisionAndImaging Sensor,Huawei Nova 5T,None,None,repeatedly1majestic0pedal0price1,201.215.235.109,iok5x3b1b4fy4kiv
yzew1,PCS,2021-05-10 17:53,2021-10-06 13:16,Ennis,Backyard,PressureSensor,Nubia X,None,None,reluctantly1guarded1cause0committee1,188.247.201.145,kj0a1jq8i9xmga68
tmqxq,JNU,2021-07-05 18:20,2021-10-18 20:10,Letterkenny,GuestRoom,VisionAndImaging Sensor,Huawei Mate 20,None,None,longingly0wholesale0itch1reading1,201.215.235.109,l6rsb8kajtoynpho
1ut3z,UFF,2021-08-29 17:54,2021-10-19 09:00,Galway,Living Room,ParticleSensor,Samsung Galaxy Z Flip 5G,None,None,reassuringly1juvenile0mine0square1,192.168.0.108,lx90vfp0fnnxabg4
yc1zw,EZY,2021-05-18 19:22,2021-10-08 16:06,Bray,Frontyard,ParticleSensor,Honor 3X,None,None,seldom0kindly1delay0glass1,201.215.235.109,y655amu5rcrrq49n
7ohy8,WJN,2021-04-15 13:56,2021-10-21 19:27,Belfast,Living Room,PressureSensor,Honor 3X Pro,None,None,hungrily0distinct0discover0aftermath0,192.168.0.108,bq60f6d2c6k5stak
ty6ae,BCX,2021-03-22 08:58,2021-10-07 06:57,Navan,Livingroom,ElectricalSensor,Honor Bee,None,None,sheepishly0callous1precede1furniture0,#N/A,c1l1nl7obwvny90q
hvsna,PCS,2021-02-27 10:19,2021-10-10 23:56,Antrim,Bedroom,LevelSensor,Huawei Nova 3i/P Smart+,None,None,unexpectedly0victorious1bolt0jelly1,188.247.201.145,ry3oogsngyvwu92y
46xes,GRM,2021-08-26 04:32,2021-10-20 13:50,Galway,Garage,LeakSensor,Honor 2,None,None,exactly1bored1bless1leg1,201.215.235.109,j48xbdqutkfi8krz
7svwx,PZA,2021-07-18 14:13,2021-10-21 17:14,Galway,Living Room,FlawSensor,Samsung Galaxy S7/Edge,None,None,generally0thick1complete0arithmetic0,192.168.0.108,zgbifffo7bzqaiki
1mu91,EPD,2021-05-03 01:46,2021-10-13 19:47,Castlebar,Familyroom,PositionSensor,Nexus 5,None,None,victoriously0boiling1program0blow0,201.215.235.109,0w61o33ulkjmm3oh
fvm95,GHC,2021-02-15 22:46,2021-10-01 14:02,Ennis,Living Room,ProximitySensor,Honor U8860,None,None,hourly1placid0squeeze0locket0,201.215.235.109,ppt9jmamgd59gls5
b29sk,SLZ,2021-02-20 00:15,2021-10-01 15:32,Waterford,Living Room,PositionSensor,Sony Xperia XA2/Ultra,None,None,kindheartedly0highfalutin1tie1smile1,192.168.0.108,yjw5lo35byc5hdxp
cyo3m,WZP,2021-02-12 23:21,2021-10-09 07:47,Dungannon,Bathroom,MotionSensor,Oppo Reno5 5G/Pro 5G/Pro+ 5G,None,None,thoughtfully0rapid1listen1cactus0,192.168.0.108,71h2hettdsze0ap4
l5lf2,MHE,2021-05-02 10:04,2021-10-21 09:51,#REF!,Bedroom,MotionSensor,OnePlus 7T Pro,None,None,vainly1moaning1scrub0room0,201.215.235.109,#REF!
tlygj,SLZ,2021-05-20 04:26,2021-10-13 00:54,Cookstown,Living Room,LeakSensor,Nubia Red Magic 5G Lite,None,None,zestfully1hard1note1drink0,192.168.0.108,ut79tod87tkvjybf
utpwq,PCS,2021-06-22 19:49,2021-10-20 11:39,Clonmel,Bathroom,ElectricalSensor,Sony Xperia 10/10 Plus,None,None,initially1absurd1suck0cattle1,188.247.201.145,cqcho4z61zck6qvl
kvy3i,WJN,2021-08-11 22:51,2021-10-09 01:55,Arklow,Garage,ProximitySensor,Asus ZenFone 3,None,None,adventurously1ritzy0trace1glove1,192.168.0.108,o4hiuz5h630jvi8v
5mzm1,EZY,2021-03-17 02:02,2021-10-07 15:26,Arklow,Living Room,ParticleSensor,Huawei Mate 8,None,None,reproachfully0lying0drag0unit1,201.215.235.109,2qk4fwug7oxoc5f6
9hwtl,KTC,2021-02-21 09:43,2021-10-08 20:20,Naas,Living Room,PressureSensor,Samsung Galaxy A2 Core,None,None,bravely0unsuitable1injure1zephyr0,201.215.235.109,hgo1gi21sxma4nqr
9uoa6,FVC,2021-03-08 22:44,2021-10-15 14:52,Navan,Basement,MetalSensor,HTC Wildfire R70,None,None,brightly0real0explode1substance0,201.215.235.109,h5yr9u52kg7c7y8d
wf9wk,PKD,2021-01-17 18:06,2021-10-21 07:23,Tullamore,Bathroom,TemperatureSensor,HTC Desire 630,None,None,boastfully1dear1suggest0afternoon0,50.109.201.254,rnmazdpc2ds6ypoj
zt2ir,GHC,2021-05-16 01:50,2021-10-07 07:39,Carlow,Garage,LeakSensor,OnePlus 5,None,None,constantly0dizzy0long1bottle1,201.215.235.109,61lplzylaj3rc6ej
01sfd,HAB,2021-01-23 20:21,2021-10-18 09:18,Mullingar,Living Room,LeakSensor,Nubia Red Magic 3s,None,None,briskly0interesting1contain1ear1,201.215.235.109,jkn28jqtzca7n03l
syhaz,SLZ,2021-03-27 14:41,2021-10-04 15:29,Navan,Garage,RadiationSensor,Huawei P40 lite 5G,None,None,honestly0doubtful1drain0worm0,192.168.0.108,milc8lbibmlyfk66
6duir,JNU,2021-09-24 02:37,2021-10-08 06:53,Belfast,Living Room,ContactSensor,HTC U12 life,None,None,awkwardly1hapless1sound0flight0,201.215.235.109,l6rsb8kajtoynpho
yr9v8,GRM,2021-08-22 22:35,2021-10-16 17:00,Dublin,Living Room,ParticleSensor,HTC Amaze 4G,None,None,afterwards1aware0calculate0silk0,201.215.235.109,2f1q2c5s70pwml55
0ya6c,MHE,2021-03-04 11:07,2021-10-05 04:11,Newry,Diningroom,MotionSensor,Oppo Find 5 Mini,None,None,daily0omniscient0grin1push1,201.215.235.109,85omujsnb2bjrec9
9cuvt,JNU,2021-03-19 18:40,2021-10-03 17:06,#REF!,Bedroom,LeakSensor,OnePlus 8 Pro,None,None,sympathetically1wicked1guide0death1,201.215.235.109,q04dz7qzqnatqjnd
t1utd,GWG,2021-01-10 12:22,2021-10-04 18:51,Galway,Basement,ContactSensor,Nubia My Prague,None,None,swiftly0apathetic1pull0plantation1,201.215.235.109,wwc5rq2o0ju197if
vlra2,MCY,2021-01-08 06:18,2021-10-01 22:27,Dublin,Bathroom,MetalSensor,HTC Desire 601,None,None,evenly1languid0mourn0smash1,201.215.235.109,p3zcg0317dvsflqm
07hv1,SLZ,2021-04-24 05:51,2021-10-10 21:03,Cobh,Bedroom,VisionAndImaging Sensor,Nokia 3.1,None,None,quizzically0lively1mend1drop0,192.168.0.108,hwi477v0z35qjt8o
cjegz,GWG,2021-07-20 12:03,2021-10-17 15:31,Newtownards,Living Room,MotionSensor,Sony Xperia Z5 Premium,None,None,potentially1teeny1exist1harmony0,201.215.235.109,t8c5v3kytd2qdhcf
qkqmw,MCY,2021-08-13 02:45,2021-10-11 00:38,Cork,Diningroom,MotionSensor,Samsung Galaxy A7/Duos,None,None,somewhat0learned1protect0horses0,201.215.235.109,x8k2fx39v29xlz2l
5mhx2,EZY,2021-08-21 17:49,2021-10-07 02:30,Armagh,Backyard,TemperatureSensor,HTC Evo 4G LTE,None,None,jovially0different0open1corn1,201.215.235.109,g18557oab9ncybmc
a3wm5,JNU,2021-06-28 03:25,2021-10-07 14:25,Newtownards,Living Room,MotionSensor,Samsung Galaxy A8 (2018)/+,None,None,literally0offbeat1hate0ants0,201.215.235.109,wmqfhg9thbqblysd
kvjho,EPD,2021-09-17 18:16,2021-10-17 12:24,Naas,Backyard,TemperatureSensor,Nokia 6.2,None,None,originally0unequaled1zoom0turkey0,201.215.235.109,1w4p4nvryplyreib
us7y1,HKX,2021-01-02 01:20,2021-10-11 05:14,Carrigaline,Living Room,ElectricalSensor,HTC Rezound,None,None,partially0boring0stuff1thought0,201.215.235.109,wugfnstgcn8sfd8p
utcl6,JNU,2021-04-06 11:56,2021-10-14 18:05,Armagh,Garage,MetalSensor,HTC Desire 530,None,None,healthily1sweltering0possess1meeting1,201.215.235.109,2dyoxu7gvt2edotl
wkcnz,WRV,2021-05-31 12:35,2021-10-21 22:34,Tralee,Living Room,VisionAndImaging Sensor,Huawei Nova 4e,None,None,tensely1electric1box0door1,192.168.0.108,579lg1xn57234tam
34wz8,WRV,2021-04-06 12:15,2021-10-04 19:47,Dungannon,Living Room,RadiationSensor,Samsung Galaxy C8,None,None,tediously1measly0succeed1dolls0,192.168.0.108,azlm1vc3jxvdj59f
uj0d9,QAR,2021-09-24 23:05,2021-10-03 17:24,Tralee,GuestRoom,PressureSensor,HTC Evo 3D,None,None,unbearably1guttural1untidy0stocking1,192.168.0.108,k8seh1oh00wsfmv5
kctax,JNU,2021-03-29 14:46,2021-10-01 11:29,Clonmel,Bedroom,PositionSensor,Samsung Galaxy Alpha,None,None,promptly1worthless1appreciate0magic0,201.215.235.109,lrv8gh0n8buombcc
2saji,HAB,2021-06-18 16:22,2021-10-05 19:40,Omagh,Living Room,TemperatureSensor,Nokia 1 Plus,None,None,sleepily1lush0march0approval1,201.215.235.109,77pp7adrvnrqzy59
p5k5l,PZA,2021-09-22 05:00,2021-10-14 00:02,Belfast,Frontyard,LevelSensor,HTC Droid Incredible,None,None,optimistically0nostalgic0taste1son0,192.168.0.108,s085g6jmp2v3gs14
75ru4,XCW,2021-09-11 07:56,2021-10-01 22:16,Derry,Familyroom,LevelSensor,HTC ChaCha,None,None,upside-down0voracious1fit1salt1,192.168.0.108,qe6rie9fhd65tb6w
qg8yk,HKX,2021-05-20 04:48,2021-10-13 21:39,Celbridge,Living Room,LeakSensor,Honor 20i,None,None,readily0plain1spark1punishment1,201.215.235.109,4xn1m2vxcu1jet82
5g4i6,LYC,2021-04-16 16:44,2021-10-10 04:45,Killarney,Living Room,MetalSensor,Sony Xperia L4,None,None,poorly1cooing0rob0tongue1,201.215.235.109,9qtq727b3kcpvkb4
cr6h8,XCW,2021-08-05 02:50,2021-10-10 16:15,Newtownabbey,Basement,ProximitySensor,Asus ROG Phone,None,None,truthfully1rainy1cry0kitty1,192.168.0.108,wwc5rq2o0ju197if
a4x8o,EPD,2021-04-10 14:32,2021-10-15 16:03,Derry,Basement,ProximitySensor,Huawei IDEOS X5,None,None,unabashedly0pale0shave0step1,201.215.235.109,p4jfbt6pnqrrl4z5
ywg5y,WRV,2021-04-25 00:57,2021-10-15 15:26,Maynooth,Basement,PressureSensor,Sony Xperia 1,None,None,significantly1industrious0clean0playground1,192.168.0.108,wugfnstgcn8sfd8p
rsiib,PXK,2021-01-11 04:45,2021-10-12 09:14,Galway,Living Room,LevelSensor,Honor Play 4T/Pro,None,None,fast0outrageous1examine0doll0,192.168.0.108,dju81a29lo4lj14u
s1q2j,PKD,2021-05-27 16:57,2021-10-12 17:32,Newtownabbey,Living Room,FlawSensor,Samsung Galaxy S7/Edge,None,None,similarly0furry0stay0wealth0,50.109.201.254,tel62pqk5l2yjfy3
5fzhd,LYC,2021-06-06 05:26,2021-10-16 01:31,Omagh,Living Room,VisionAndImaging Sensor,Samsung Galaxy A01 Core,None,None,tremendously1coherent0moan0shade0,201.215.235.109,milc8lbibmlyfk66
dfrsr,SLZ,2021-08-06 16:22,2021-10-05 21:14,Derry,Kitchen,FlawSensor,OnePlus 3T,None,None,warmly0purring0attempt1fact0,192.168.0.108,tel62pqk5l2yjfy3
p9oxu,EZY,2021-02-21 22:04,2021-10-17 05:42,Ballymena,Frontyard,FlameSensor,HTC Desire 616,None,None,again0abrupt1coach1shame1,201.215.235.109,71h2hettdsze0ap4
ug2ti,UWS,2021-09-23 17:02,2021-10-12 08:03,Carrickfergus,Living Room,MotionSensor,Oppo F9,None,None,coyly0rare1bubble1rice1,192.168.0.108,2jtwbnj7sn5f79bp
u3h1h,FRE,2021-03-04 21:11,2021-10-10 12:38,Celbridge,Living Room,PhotoelectricSensor,Honor 20 Pro,None,None,usually0direful1judge0place1,201.215.235.109,2jtwbnj7sn5f79bp
m8k3n,ETF,2021-08-29 13:03,2021-10-13 02:30,Portadown,Kitchen,ContactSensor,Samsung Galaxy Xcover 4s,None,None,altogether1habitual1crack1cemetery1,201.215.235.109,hgo1gi21sxma4nqr
yghxe,LYC,2021-07-26 14:37,2021-10-01 08:54,Banbridge,Livingroom,TemperatureSensor,Samsung Galaxy A7 (2018),None,None,far1perfect1welcome1time1,201.215.235.109,n336d0kj387ysry3
57tti,THA,2021-02-16 20:09,2021-10-10 13:59,Larne,Basement,PhotoelectricSensor,Samsung Galaxy A32,None,None,monthly1caring1branch1guide1,192.168.0.108,uzs09gps79d8xhj1
63iz1,WZP,2021-04-18 10:38,2021-10-11 09:51,Bray,Frontyard,FlameSensor,Asus ZenFone Max M2,None,None,voluntarily0hurt0rock1morning1,192.168.0.108,knmf3vubnsfem4xr
cuuet,XCW,2021-09-30 08:44,2021-10-17 12:22,Enniskillen,Bedroom,VisionAndImaging Sensor,Huawei Ascend Mate,None,None,upliftingly1untidy1applaud0milk1,192.168.0.108,l6rsb8kajtoynpho
t4ebk,FRE,2021-07-21 02:22,2021-10-10 19:30,Larne,Living Room,ContactSensor,Nokia X,None,None,instead0profuse0flood0sign1,201.215.235.109,j48xbdqutkfi8krz
l2nhq,SLZ,2021-09-01 11:10,2021-10-08 21:18,Killarney,Living Room,MotionSensor,OnePlus 9,None,None,mostly1wet0vanish0clover0,192.168.0.108,bq60f6d2c6k5stak
m3t1k,LYC,2021-04-09 16:20,2021-10-08 03:49,Newry,Diningroom,ElectricalSensor,HTC Desire XC,None,None,correctly1long1decide0space1,201.215.235.109,ts9neu8jvhvlkmpx
2p18a,MCY,2021-03-29 11:00,2021-10-04 07:01,Dublin,Frontyard,FlawSensor,HTC Desire 828,None,None,helpfully1watery1inject0reaction0,201.215.235.109,ee7iao8t9o6ki77e
q27tl,EPD,2021-01-31 20:24,2021-10-12 07:23,Arklow,Living Room,ContactSensor,Sony Xperia 1,None,None,accidentally0far1stamp0skirt1,201.215.235.109,6k8amck971r7415w
rzcvf,ETF,2021-01-03 07:08,2021-10-07 01:55,Armagh,Livingroom,FlawSensor,OnePlus One,None,None,blindly1spotless1bore0form0,201.215.235.109,ry3oogsngyvwu92y
16wez,SLZ,2021-03-06 22:29,2021-10-16 13:50,Athlone,Living Room,ContactSensor,Oppo F7,None,None,bashfully1abortive0unpack0skin1,192.168.0.108,77pp7adrvnrqzy59
5fmr9,WRV,2021-05-25 03:44,2021-10-05 14:32,Bray,Living Room,LeakSensor,Samsung Galaxy A10e,None,None,widely1descriptive0fool1boat0,192.168.0.108,71h2hettdsze0ap4
ibdsl,PKD,2021-06-05 22:26,2021-10-19 19:51,Newbridge,Living Room,TemperatureSensor,Nokia 4.2,None,None,essentially0fluttering0fancy0design1,50.109.201.254,3rfv057vluihv3az
4fxan,MHE,2021-04-26 06:55,2021-10-15 22:39,Dublin,#REF!,ElectricalSensor,Samsung Galaxy Note 20/Ultra,None,None,elegantly1heavenly0hammer1car0,201.215.235.109,ep5y6wvuh827xfd3
puukz,FVC,2021-06-05 08:19,2021-10-01 13:54,Dublin,Bedroom,ParticleSensor,HTC Desire 825,None,None,even0nippy1trap1person0,201.215.235.109,7t2vi1n3xssih0qa
w7oll,HAB,2021-05-20 05:06,2021-10-10 18:10,Swords,GuestRoom,LeakSensor,Samsung Galaxy Xcover 4,None,None,energetically0pleasant1enjoy0sock0,201.215.235.109,ep5y6wvuh827xfd3
l7orh,EPD,2021-06-25 19:38,2021-10-18 00:46,Ballymena,Frontyard,ContactSensor,Oppo Reno4 5G/Pro 5G,None,None,youthfully0late1influence0pies1,201.215.235.109,7t2vi1n3xssih0qa
29ina,UWS,2021-07-14 19:42,2021-10-11 12:04,Cork,Living Room,LeakSensor,Honor Holly,None,None,foolishly1fearful1attach1word1,192.168.0.108,2dyoxu7gvt2edotl
uij3w,PCS,2021-06-22 09:56,2021-10-03 16:13,Killarney,Livingroom,PositionSensor,Nokia 5.1 Plus,None,None,properly0rebel0fold1slope1,188.247.201.145,msr8qbh88eeuu69g
c56hf,MHE,2021-05-06 19:43,2021-10-06 01:52,Drogheda,Living Room,LeakSensor,Huawei P10,None,None,punctually1violet0choke1mother0,201.215.235.109,ajtlv95kekuan9jk
tgqkr,QAR,2021-03-02 01:55,2021-10-10 12:28,Newtownabbey,Basement,TemperatureSensor,Nokia 1.4,None,None,personally0loving0tow0jail1,192.168.0.108,uwijmm66u1c5glkj
q8dhu,PZA,2021-09-21 21:17,2021-10-17 04:03,Maynooth,Basement,VisionAndImaging Sensor,Nubia Red Magic 3,None,None,sweetly0glib1clap0bikes0,192.168.0.108,apneovwjunmfhf6v
wo2mp,GHC,2021-04-28 12:33,2021-10-17 13:47,Cobh,Living Room,VisionAndImaging Sensor,HTC Amaze 4G,None,None,defiantly0nonstop1visit1muscle0,201.215.235.109,2qk4fwug7oxoc5f6
vzemb,FLF,2021-06-21 00:35,2021-10-14 13:20,Ballymena,Living Room,LevelSensor,HTC Desire 326G,None,None,especially1medical1pump1man1,201.215.235.109,milc8lbibmlyfk66
jyb2c,FVC,2021-02-01 06:43,2021-10-08 00:10,Tullamore,Bedroom,PositionSensor,Honor 3C Play,None,None,tightly0handsomely1carry1crook1,201.215.235.109,2jtwbnj7sn5f79bp
48k1u,GHC,2021-05-10 06:03,2021-10-07 12:02,Bray,Familyroom,PressureSensor,HTC Sensation XL,None,None,upwardly0voiceless0jog0motion1,201.215.235.109,q04dz7qzqnatqjnd
6ueqy,MHE,2021-04-06 00:10,2021-10-21 15:16,Mullingar,Living Room,TemperatureSensor,HTC Desire C,None,None,commonly0enthusiastic0cure1bubble1,201.215.235.109,2qk4fwug7oxoc5f6
659s0,PKD,2021-04-07 01:48,2021-10-10 00:19,Waterford,Bedroom,RadiationSensor,Huawei Nova 5i Pro,None,None,anyway1anxious0offend0toy0,50.109.201.254,2jtwbnj7sn5f79bp
cdg5y,JNU,2021-09-22 16:08,2021-10-09 15:20,Derry,Living Room,LevelSensor,Oppo Joy Plus,None,None,really1earsplitting1dance1birds0,201.215.235.109,x8k2fx39v29xlz2l
r5kh6,PKD,2021-07-07 01:10,2021-10-10 12:34,Armagh,Living Room,PressureSensor,Honor 20 lite (China),None,None,painfully0right1learn1kiss0,50.109.201.254,p3zcg0317dvsflqm
